Rabab K. Ward	114	3.89	5	4	3	4	4	4	3	4	4	5	4	4	4	4	4	4	4	4	3	3	5	4	3	4	3	4	4	3	4	4	4	3	4	4	4	4	4	4	4	5	4	4	6	5	4	4	3	3	4	3	4	4	4	4	5	4	3	4	4	4	4	4	3	3	5	4	4	5	3	5	4	3	4	4	3	3	3	4	4	4	3	4	4	5	4	3	4	3	3	4	4	4	4	4	3	4	4	5	4	4	
Aleksandrs Belovs	26	3.85	5	4	3	4	3	4	4	3	4	5	5	4	4	3	4	4	4	4	4	3	5	4	4	3	3	4	4	3	4	5	3	3	4	4	3	4	4	4	5	5	4	5	5	5	4	4	3	3	3	3	4	3	4	3	5	3	3	5	4	4	4	4	3	4	4	5	4	4	4	5	4	3	3	4	3	3	2	5	4	4	3	3	4	5	3	3	4	4	3	4	4	4	4	4	4	4	4	4	4	4	
Birgitta K	164	3.51	4	4	3	4	3	3	4	3	4	4	5	4	4	3	4	4	3	4	3	3	4	3	4	3	2	4	4	3	3	5	3	1	4	4	2	3	4	3	5	5	4	4	6	4	4	3	3	3	3	3	4	4	4	3	5	3	3	4	4	4	3	4	3	3	4	4	3	4	4	4	3	2	4	3	2	3	2	5	4	4	3	3	3	5	3	2	4	3	3	3	3	4	3	3	3	4	3	4	4	3	
Olivier Chabiron	71	3.49	4	4	3	4	3	3	4	3	4	4	5	4	4	3	4	4	4	4	3	3	4	3	4	4	2	4	4	2	3	4	4	2	4	3	3	3	4	3	4	5	4	4	5	4	4	3	3	3	3	3	4	4	4	3	5	4	3	4	4	4	3	4	3	3	4	4	3	3	4	4	3	2	4	3	2	3	2	4	3	4	2	3	3	5	2	2	4	3	3	4	3	4	3	3	4	4	3	4	4	3	
Tara K. Sigdel	13	4.08	5	4	4	4	4	3	4	4	4	5	5	4	5	4	4	4	4	4	4	3	4	4	4	4	3	4	4	3	4	5	4	3	5	4	4	4	4	4	5	5	4	5	6	5	4	4	3	3	4	3	4	4	4	4	6	5	4	5	4	4	4	3	4	4	5	5	4	4	4	5	4	3	4	4	3	4	3	5	4	4	4	3	4	6	4	3	4	3	4	4	4	4	3	4	4	5	4	5	4	4	
Tian Wang	89	3.61	5	4	4	3	3	3	3	4	3	5	4	4	4	3	3	3	4	3	3	3	4	3	3	4	3	4	3	3	3	4	4	3	4	4	4	4	3	3	5	5	4	4	6	5	3	4	3	3	3	3	4	4	3	3	5	4	2	4	3	3	4	3	3	3	4	5	3	4	3	5	3	3	3	4	3	3	3	4	4	4	3	3	4	5	4	3	4	3	4	4	3	3	3	4	3	4	4	4	4	4	
Radko Mesiar	134	3.38	4	4	3	4	3	3	4	3	4	4	4	3	4	3	4	4	3	4	3	3	4	3	3	3	2	4	4	3	3	5	3	2	4	4	3	3	4	3	5	5	3	4	6	4	4	3	2	3	3	3	3	3	4	3	5	3	3	4	4	4	3	4	2	3	4	4	3	4	4	4	3	2	3	3	2	3	2	4	4	3	3	3	3	4	3	2	3	3	3	3	3	4	3	3	3	3	3	4	3	3	
Neville A. Stanton	53	4.27	5	4	4	5	4	4	4	4	4	5	5	4	5	4	4	4	4	5	4	4	5	4	4	4	4	5	5	4	4	6	4	3	5	5	4	4	5	4	5	5	4	5	6	5	4	4	3	4	4	3	4	4	4	4	5	5	4	5	4	4	4	5	3	4	5	4	3	5	5	5	4	4	4	4	4	4	3	5	5	4	4	4	4	6	4	4	4	4	3	4	4	4	4	4	4	4	4	5	4	5	
Robert Phan	4	4.63	5	5	4	5	4	5	5	5	4	6	5	4	5	4	4	4	4	5	5	4	6	4	4	5	4	5	5	3	5	6	5	4	5	4	5	5	5	5	5	6	4	5	7	5	4	5	4	4	4	4	5	5	4	4	5	5	4	5	4	4	5	5	4	5	5	6	5	5	5	5	5	4	5	5	4	4	4	6	4	4	4	4	4	6	4	4	4	4	3	5	5	4	5	4	5	5	4	5	5	5	
Richard L. Lewis	33	4.15	5	4	4	5	4	4	4	4	4	5	5	4	4	4	4	4	4	4	4	4	5	4	4	5	3	4	4	3	4	6	4	3	5	4	4	4	4	4	5	5	4	4	6	4	4	4	3	4	4	4	4	4	4	4	6	5	4	5	4	4	4	4	4	4	5	5	4	4	3	5	4	3	4	4	3	4	3	5	4	4	4	4	4	5	4	3	4	4	4	4	4	4	4	4	4	5	4	5	4	4	
Peggy L. Peissig	69	3.85	5	4	3	4	4	3	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	4	3	4	4	3	4	5	4	3	5	4	3	4	4	4	5	5	4	4	6	5	4	4	3	3	3	3	4	4	4	3	5	4	4	4	4	4	4	4	3	4	5	5	4	4	4	5	3	3	4	4	3	3	3	5	4	4	3	4	4	5	3	3	4	3	3	4	3	4	3	3	3	3	4	4	4	4	
Hung-Yu Kao	90	3.61	5	3	3	4	3	4	4	4	3	5	5	4	4	4	3	3	3	3	4	3	4	4	3	4	3	4	4	3	4	5	4	3	4	4	4	3	3	3	5	4	4	4	5	5	3	4	2	3	3	3	3	3	3	3	5	4	3	5	3	3	3	4	3	4	4	4	3	4	4	4	4	3	4	4	3	3	2	5	4	3	3	4	3	5	3	3	4	3	3	3	4	3	4	3	3	3	4	4	3	4	
Dmitri Klimov	3	4.74	5	5	4	5	5	5	4	4	5	6	6	5	5	4	5	5	4	5	5	4	5	4	5	5	4	5	5	4	5	6	5	3	5	5	4	5	5	5	6	6	5	6	7	5	5	4	4	4	4	3	5	5	5	4	6	5	4	6	5	5	5	5	4	5	5	6	5	5	5	5	4	4	5	4	4	4	3	5	5	4	4	4	5	6	4	4	5	4	4	5	4	5	5	4	5	5	5	5	4	5	
